"station_id";"codestation";"inseecom";"coordx";"coordy";"codecourseau";"libellecourseau";"codetronconhydro";"coderegion";"codedepartement";"naturestation";"libellenaturestation";"typeentitehydro";"cdtronconh";"idtronconh";"nomentiteh";"etat";"sens";"largeur";"nature";"navigable";"source";"target";"troncon_id";"gid";"distance";"cdentitehy";"nomentiteh_plando";"distance_planeau";"verif_cdho"
38597;"Y4225043";NULL;"877730";"6265210";NULL;NULL;NULL;NULL;NULL;"M";"Station de mesure Manuelle";"1";NULL;"619005039";"canal de gordes";"Permanent";"Inconnu";"De 0 à 15 mètres";"Canal, chenal";"Non navigable";362578;362579;364081;"66885";"2342.9477864329715";"Y4225043";"étang de vaïné";"0";False
25342;"----1543";"33004";"421474";"6439387";NULL;NULL;NULL;"75";"33";"M";"Station de mesure Manuelle";"1";"O9791050";"500021171";NULL;"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";479067;478700;496807;"199610";"500.4064390568003";"----1543";NULL;"0";False
25587;"O0205043";"31483";"512331";"6225180";NULL;NULL;NULL;"76";"31";"M";"Station de mesure Manuelle";"1";"O0200000";"500073086";"fleuve la garonne";"Fictif";"Sens du tronçon";"Plus de 50 mètres";"Cours d'eau naturel";"Non navigable";335740;335554;334186;"36955";"101.05527923234546";"O0205043";NULL;"0";False
25609;"O1805003";"09001";"572430";"6218664";NULL;NULL;NULL;"76";"09";"M";"Station de mesure Manuelle";"1";"O1800400";"500074227";"rivière la lèze";"Fictif";"Sens du tronçon";"Sans objet";"Sans objet";"Non navigable";332817;333021;331050;"33802";"2.546951969070487";"O1805003";"retenue de mondély";"0";False
38584;"W1075043";"73053";"955237";"6500620";NULL;NULL;NULL;"84";"73";"M";"Station de mesure Manuelle";"1";"W1070400";"650008748";"rivière l'arc";"Fictif";"Sens du tronçon";"Plus de 50 mètres";"Cours d'eau naturel";"Non navigable";2027;46809;20639;"238621";"262.37073599333917";"W0515003";"étang de grésy";"3495.4641079485036";False
38595;"Y4225003";NULL;"868837";"6265341";NULL;NULL;NULL;NULL;NULL;"M";"Station de mesure Manuelle";"1";NULL;"619005088";NULL;"Permanent";"Inconnu";"De 0 à 15 mètres";"Canal, chenal";"Non navigable";33146;362346;363825;"66554";"3650.74350919941";"Y4225003";"étang de berre";"0";False
106;"01001949";"59433";"649755.77";"7076275.9";NULL;NULL;"E4035013";"32";"59";"M";"Station de mesure Manuelle";"1";"E4030760";"100012290";"rivière le zieux";"Permanent";"Sens du tronçon";"De 0 à 15 mètres";"Cours d'eau naturel";"Non navigable";299908;299834;293247;"511272";"355.6552367054311";"E4035013";"étang de romelaere";"0";False
111;"01002021";"59198";"781175.39";"7002440.42";NULL;NULL;"D0155013";"32";"59";"M";"Station de mesure Manuelle";"1";"D0150720";"100006809";"ruisseau voyon";"Fictif";"Sens du tronçon";"Plus de 50 mètres";"Cours d'eau naturel";"Non navigable";274294;291966;283986;"501985";"3.476327045750676";"D0155013";"lac du val joly";"0";False
113;"01002022";"59491";"730889.52";"7033147.46";NULL;NULL;"E2365014";"32";"59";"M";"Station de mesure Manuelle";"1";"E2361660";"100004836";NULL;"Intermittent";"Inconnu";"De 0 à 15 mètres";"Canal, chenal";"Non navigable";295437;295438;288075;"506102";"773.7170624867484";"E2365014";"mare à goriaux";"0";False
115;"01002023";"59606";"735601.79";"7027522.12";NULL;NULL;"E1745013";"32";"59";"M";"Station de mesure Manuelle";"1";"E1740603";"150008155";NULL;"Fictif";"Sens du tronçon";"Sans objet";"Sans objet";"Inconnue";294423;285174;287147;"505171";"25.6790461154687";"E1745013";"étang du vignoble";"0";False
